date,channel,source,url_to_post,message_variant,posted,status,post_url,visits,form_submits,replies,interviews,price_yes,sample_requests,notes
2026-06-27,GitHub Pages article,article_github,https://gurwnswh9910-maker.github.io/korean-sesame-oil-mvp/note_article.html,note_article_html,yes,public_pending_traffic,https://gurwnswh9910-maker.github.io/korean-sesame-oil-mvp/note_article.html,,,,,,,"published inside GitHub Pages with robots.txt and sitemap; source flows through share_note.html?src=article_github"
2026-06-27,Vercel landing,vercel_landing,https://korean-sesame-oil-mvp.vercel.app/,clean_landing,yes,public_pending_traffic,https://korean-sesame-oil-mvp.vercel.app/,,,,,,,"consumer-facing canonical surface deployed to Vercel; / /note /share /field verified 200; GitHub text not visible in rendered pages"
2026-06-27,note kfood,note_kfood,https://korean-sesame-oil-mvp.vercel.app/answer-note,note_article,yes,public_pending_traffic,https://note.com/dreamy_viola8978/n/n77fa3f5a7fe9,5,,0,,,,"published 2026-06-27T21:46+09:00 as oilcham; updated for mobile CTA with /answer-note, /share?src=note_kfood, and note comment template; /answer-note changed 2026-06-27T22:40+09:00 from Notion direct redirect to mobile answer hub with note comment, Notion form, and copy memo choices; no GitHub Pages links visible; tags #韓国料理 #新大久保 #韓国旅行 #ごま油 #おうち韓国; free post, comments on, auto translation off, AI training compensation off; note dashboard 2026-06-28T02:39+09:00 still shows latest aggregation 2026年6月28日 01:31 with this post 5 views, 0 comments, 0 likes"
2026-06-27,X/Threads travel,x_threads_travel,https://korean-sesame-oil-mvp.vercel.app/?src=x_threads_travel,travel_memory,no,ready_account_permission,,,,,,,,"post only after note 24h or if user confirms direct SNS posting; one manual post only"
2026-06-27,X/Threads homecook,x_threads_homecook,https://korean-sesame-oil-mvp.vercel.app/?src=x_threads_homecook,homecook_kfood,no,hold_after_travel_post,,,,,,,,"use only if travel post has no response; avoid repeated link posting"
2026-06-27,Konest community,konest,https://korean-sesame-oil-mvp.vercel.app/share?src=konest,travel_memory,no,hold_rules_check,,,,,,,,"needs community rule check or moderator permission before posting"
2026-06-27,Tunagate/offline,tunagate,https://korean-sesame-oil-mvp.vercel.app/field,interview_request,no,do_not_post_platform,,,,,,,,"Tunagate rules prohibit sales/solicitation/promotion/external service induction; offline natural interviews only"
2026-06-27,X public answer intent,x_public_answer,https://korean-sesame-oil-mvp.vercel.app/note?src=x_public_answer,public_answer_intent,yes,public_response_path,https://korean-sesame-oil-mvp.vercel.app/note?src=x_public_answer,,,,,,,"MVP pages include X intent links with hashtag #韓国ごま油検証; collect real response URLs into public_social_responses.csv"
2026-06-27,Vercel content MVP,content_travel,https://korean-sesame-oil-mvp.vercel.app/korea-trip-goma?src=content_travel,product_external_content,yes,public_pending_traffic,https://korean-sesame-oil-mvp.vercel.app/korea-trip-goma?src=content_travel,,,,,,,"product-external content MVP for Korea travel/Shin-Okubo/home-cooking target-density validation; deployed 2026-06-27T23:20+09:00; count only recent purchase/store/brand/volume-price/switching-condition responses, not views alone"
2026-06-27,note content travel,note_content_travel,https://korean-sesame-oil-mvp.vercel.app/korea-trip-goma?src=note_content_travel,note_product_external_content,yes,public_pending_traffic,https://note.com/dreamy_viola8978/n/n3f3af286cf6d,,,,,,,"published 2026-06-27T23:38+09:00 as oilcham; product-external question post asking Korea travel/Shin-Okubo purchase place, aroma retention, and switching conditions; free post, comments on, auto translation off, AI training compensation off; unauthenticated HTTP returns 200 and contains content link, but page HTML includes noindex so search discovery may be weak; 2026-06-28T00:32+09:00 /korea-trip-goma first screen now shows /quick-answer?src=note_content_travel CTA"
